Title;Year;Age;IMDb;Rotten Tomatoes;Netflix;Hulu;Prime Video;Disney+;Directors;Genres;Country;Language;Runtime
Bo Burnham: Inside;2021;18+;8,8;81;1;0;0;0;Bo Burnham;Comedy,Drama,Music;United States;English;87
The Dig;2021;13+;7,1;75;1;0;0;0;Simon Stone;Biography,Drama,History;United Kingdom;English;112
Army of the Dead;2021;18+;5,8;75;1;0;0;0;Zack Snyder;Action,Crime,Horror,Sci-Fi,Thriller;United States;English,Spanish,German,French;148
The White Tiger;2021;18+;7,1;75;1;0;0;0;Ramin Bahrani;Crime,Drama;India,United States;Hindi,English;125
I Care a Lot;2021;18+;6,3;74;1;0;0;0;J Blakeson;Comedy,Crime,Thriller;United States,United Kingdom;English;118
Wish Dragon;2021;7+;7,2;73;1;0;0;0;Chris Appelhans;Animation,Adventure,Comedy,Family,Fantasy;China,United States,Canada;English;98
The Mitchells vs. The Machines;2021;7+;7,7;73;1;0;0;0;;Comedy,Talk-Show;United Kingdom,United States,Canada;English;138
Fear Street Part Two: 1978;2021;18+;6,8;73;1;0;0;0;Leigh Janiak;Drama,Horror,Mystery;United States,Canada;English;109
Gunpowder Milkshake;2021;18+;6,0;73;1;0;0;0;Navot Papushado;Action,Adventure,Thriller;France,Germany,United States;English,Russian;114
The Ice Road;2021;13+;5,6;72;1;0;0;0;Jonathan Hensleigh;Action,Adventure,Drama,Thriller;United States;English;109
Fear Street: 1666;2021;18+;6,7;70;1;0;0;0;Leigh Janiak;Horror,Mystery;United States,Canada;English;114
Fear Street: 1994;2021;;6,2;69;1;0;0;0;Leigh Janiak;Drama,Horror,Mystery;United States,Canada;English;107
Outside the Wire;2021;18+;5,4;69;1;0;0;0;Mikael HÇ¾fstrÇôm;Action,Adventure,Fantasy,Sci-Fi;Hungary,United States;English,Ukrainian,Russian;114
Trollhunters: Rise of the Titans;2021;7+;7,0;69;1;0;0;0;Johane Matte,Francisco Ruiz-Velasco,Andrew L. Schmidt;Animation,Action,Adventure,Comedy,Drama,Family,Fantasy;United States,Mexico;English;104
Fatherhood;2021;13+;6,7;69;1;0;0;0;Paul Weitz;Comedy,Drama;United States;English;109
Rurouni Kenshin: The Final;2021;;7,2;67;1;0;0;0;Keishi Ohtomo;Action,Adventure,Drama;Japan;Japanese;138
Major Grom: Plague Doctor;2021;;6,3;67;1;0;0;0;Oleg Trofim;Action,Adventure;Russia;Russian;136
Seaspiracy;2021;18+;8,2;67;1;0;0;0;Ali Tabrizi;Documentary,Adventure;United States;English;89
Moxie;2021;13+;6,7;67;1;0;0;0;Amy Poehler;Comedy,Drama,Music;United States;English;111
Oxygen;2021;18+;6,5;67;1;0;0;0;Alexandre Aja;Drama,Fantasy,Sci-Fi,Thriller;France,United States;French;100
Penguin Bloom;2021;13+;6,8;67;1;0;0;0;Glendyn Ivin;Drama;Australia,United States;English;95
Stowaway;2021;18+;5,6;67;1;0;0;0;Joe Penna;Drama,Sci-Fi,Thriller;Germany,United States;English;116
Kingdom: Ashin of the North;2021;18+;7,1;67;1;0;0;0;Seong-hun Kim;Action,Drama,History,Horror,Thriller;South Korea;Korean;92
Blue Miracle;2021;7+;6,7;67;1;0;0;0;Julio Quintana;Adventure,Biography,Drama,Family;United States;English;95
The Woman in the Window;2021;18+;5,7;67;1;0;0;0;Joe Wright;Crime,Drama,Mystery,Thriller;United States;English;100
Good on Paper;2021;18+;5,6;66;1;0;0;0;Kimmy Gatewood;Comedy,Romance;United States;English;92
Yes Day;2021;7+;5,7;66;1;0;0;0;Miguel Arteta;Comedy,Family;United States;English,Spanish;86
Blood Red Sky;2021;18+;6,1;66;1;0;0;0;Peter Thorwarth;Action,Horror,Thriller;Germany,United States;German,English,Arabic;121
Ferry;2021;18+;7,0;66;1;0;0;0;Cecilia Verheyden;Action,Crime,Drama,Thriller;Belgium,Netherlands;Flemish,Dutch;106
The Last Letter From Your Lover;2021;18+;6,8;66;1;0;0;0;Augustine Frizzell;Drama,Romance;United Kingdom,France;English;110
Haseen Dillruba;2021;18+;6,9;65;1;0;0;0;Vinil Mathew;Crime,Drama,Mystery,Romance,Thriller;India;Hindi;135
Xtreme;2021;18+;5,8;65;1;0;0;0;Daniel Benmayor;Action,Crime,Drama,Thriller;Spain;Spanish;111
To All the Boys: Always and Forever;2021;;6,3;65;1;0;0;0;Michael Fimognari;Comedy,Drama,Romance;United States;English;109
Breaking Boundaries: The Science of Our Planet;2021;7+;7,8;65;1;0;0;0;Jon Clay;Documentary;United States;English;73
Thunder Force;2021;13+;4,4;65;1;0;0;0;Ben Falcone;Action,Adventure,Comedy,Fantasy,Sci-Fi;United States;English;106
Space Sweepers;2021;;6,6;65;1;0;0;0;Sung-hee Jo;Action,Adventure,Drama,Fantasy,Sci-Fi;South Korea;Korean,English,Spanish,Danish,French,German,Russian,Chinese,Arabic,Filipino,Mandarin;136
Mimi;2021;;8,4;64;1;0;0;0;Laxman Utekar;Comedy,Drama;India;Hindi;132
Below Zero;2021;18+;6,2;64;1;0;0;0;LluÇðs QuÇðlez;Action,Adventure,Crime,Drama,Thriller;Spain;Spanish;106
I Am All Girls;2021;18+;5,8;63;1;0;0;0;Donovan Marsh;Crime,Drama,Mystery,Thriller;South Africa;English;107
